Class,Overall Accuracy,IOU,F1-score
0,0.8392262456110118,0.6959496393367655,0.8207196996827456
1,0.8787043301759134,0.7911095544117199,0.8833737193385197
2,0.8892912360647733,0.752299938537185,0.8586428864058546
3,0.7203046521916394,0.5795527513330914,0.733818798826399
4,0.932409592448498,0.7645651378066001,0.8665762701817563
5,0.917607669432487,0.8338215007842174,0.9093813115700096
6,0.6550960439680035,0.4929428673209921,0.6603640073723012
7,0.4876718967710668,0.38656390309491223,0.5575854127344196
8,0.3189478740289032,0.2366398611692155,0.3827142704998653
